timestamp_ms,raw_value,leads_off,bpm
1771381785395,336,0,
1771381785399,340,0,
1771381785403,342,0,
1771381785407,343,0,
1771381785415,343,0,
1771381785419,343,0,
1771381785423,344,0,
1771381785427,345,0,
1771381785436,345,0,
1771381785440,344,0,
1771381785444,344,0,
1771381785448,346,0,
1771381785456,346,0,
1771381785460,346,0,
1771381785464,345,0,
1771381785472,343,0,
1771381785477,353,0,
1771381785481,363,0,
1771381785485,361,0,
1771381785493,328,0,
1771381785497,268,0,
1771381785501,173,0,
1771381785505,46,0,
1771381785509,0,0,
1771381785513,0,0,
1771381785513,0,0,
1771381785522,40,0,
1771381785526,152,0,
1771381785530,304,0,
1771381785534,376,0,
1771381785542,373,0,
1771381785546,357,0,
1771381785550,355,0,
1771381785554,365,0,
1771381785563,370,0,
1771381785567,373,0,
1771381785571,374,0,
1771381785575,373,0,
1771381785583,374,0,
1771381785587,372,0,
1771381785591,370,0,
1771381785599,371,0,
1771381785604,369,0,
1771381785608,367,0,
1771381785612,365,0,
1771381785620,364,0,
1771381785624,363,0,
1771381785628,357,0,
1771381785632,356,0,
1771381785640,354,0,
1771381785644,351,0,
1771381785649,347,0,
1771381785657,344,0,
1771381785661,339,0,
1771381785665,337,0,
1771381785669,333,0,
1771381785677,326,0,
1771381785681,322,0,
1771381785685,319,0,
1771381785690,312,0,
1771381785698,308,0,
1771381785702,305,0,
1771381785706,301,0,
1771381785710,296,0,
1771381785718,293,0,
1771381785722,291,0,
1771381785726,290,0,
1771381785735,288,0,
1771381785739,285,0,
1771381785743,282,0,
1771381785747,281,0,
1771381785755,280,0,
1771381785759,280,0,
1771381785763,283,0,
1771381785767,288,0,
1771381785776,292,0,
1771381785780,298,0,
1771381785784,304,0,
1771381785792,312,0,
1771381785796,318,0,
1771381785800,325,0,
1771381785804,332,0,
1771381785812,335,0,
1771381785816,338,0,
1771381785821,342,0,
1771381785825,345,0,
1771381785833,348,0,
1771381785837,350,0,
1771381785841,350,0,
1771381785845,351,0,
1771381785853,352,0,
1771381785857,354,0,
1771381785862,352,0,
1771381785870,352,0,
1771381785874,354,0,
1771381785878,353,0,
1771381785882,353,0,
1771381785890,354,0,
1771381785894,353,0,
1771381785898,354,0,
1771381785903,354,0,
1771381785911,353,0,
1771381785915,353,0,
1771381785919,354,0,
1771381785927,353,0,
1771381785931,355,0,
1771381785935,356,0,
1771381785939,354,0,
1771381785948,352,0,
1771381785952,353,0,
1771381785956,354,0,
1771381785960,353,0,
1771381785968,353,0,
1771381785972,353,0,
1771381785976,352,0,
1771381785984,354,0,
1771381785989,353,0,
1771381785993,352,0,
1771381785997,353,0,
1771381786005,353,0,
1771381786009,351,0,
1771381786013,351,0,
1771381786017,352,0,
1771381786026,352,0,
1771381786029,350,0,
1771381786034,350,0,
1771381786038,350,0,
1771381786046,347,0,
1771381786050,348,0,
1771381786054,348,0,
1771381786062,349,0,
1771381786066,350,0,
1771381786070,347,0,
1771381786075,341,0,
1771381786083,334,0,
1771381786087,326,0,
1771381786091,322,0,
1771381786095,325,0,
1771381786103,331,0,
1771381786107,335,0,
1771381786111,335,0,
1771381786120,337,0,
1771381786124,341,0,
1771381786128,344,0,
1771381786132,347,0,
1771381786140,349,0,
1771381786144,349,0,
1771381786148,349,0,
1771381786152,349,0,
1771381786161,348,0,
1771381786165,350,0,
1771381786169,349,0,
1771381786173,348,0,
1771381786181,350,0,
1771381786185,351,0,
1771381786189,350,0,
1771381786197,349,0,
1771381786201,350,0,
1771381786206,355,0,
1771381786210,364,0,
1771381786218,367,0,
1771381786222,346,0,
1771381786226,297,0,
1771381786230,221,0,
1771381786239,104,0,
1771381786239,0,0,
1771381786242,0,0,
1771381786247,0,0,
1771381786251,20,0,
1771381786255,117,0,
1771381786263,271,0,
1771381786267,368,0,
1771381786271,377,0,
1771381786275,364,0,
1771381786283,362,0,
1771381786288,369,0,
1771381786292,377,0,
1771381786296,380,0,
1771381786304,382,0,
1771381786308,382,0,
1771381786312,384,0,
1771381786320,383,0,
1771381786324,381,0,
1771381786328,380,0,
1771381786333,378,0,
1771381786341,376,0,
1771381786345,377,0,
1771381786349,373,0,
1771381786353,371,0,
1771381786361,370,0,
1771381786365,369,0,
1771381786369,366,0,
1771381786374,362,0,
1771381786382,360,0,
1771381786386,357,0,
1771381786390,353,0,
1771381786398,349,0,
1771381786402,347,0,
1771381786406,342,0,
1771381786410,337,0,
1771381786419,334,0,
1771381786423,328,0,
1771381786427,325,0,
1771381786431,319,0,
1771381786439,314,0,
1771381786443,313,0,
1771381786447,310,0,
1771381786455,306,0,
1771381786460,304,0,
1771381786464,303,0,
1771381786468,302,0,
1771381786476,301,0,
1771381786480,300,0,
1771381786484,300,0,
1771381786488,298,0,
1771381786496,300,0,
1771381786500,304,0,
1771381786505,308,0,
1771381786509,313,0,
1771381786517,317,0,
1771381786521,322,0,
1771381786525,330,0,
1771381786533,335,0,
1771381786537,339,0,
1771381786541,342,0,
1771381786546,348,0,
1771381786554,351,0,
1771381786558,352,0,
